title,year,count,tmdb_id
#Alive,2020,53,614696
100 Tears,2007,31,28109
12 Hour Shift,2020,5,667141
13 Fanboy,2021,13,582292
2001: A Space Odyssey,1968,6,62
28 Days Later,2002,178,170
28 Weeks Later,2007,237,1562
3 From Hell,2019,41,489064
30 Days of Night,2007,67,4513
5 Dead on the Crimson Canvas,1996,9,104377
68 Kill,2017,11,367462
[•REC],2007,16,8329
[•REC]²,2009,13,10664
[•REC]³: Génesis,2012,161,80280
[•REC]⁴: Apocalypse,2014,41,185341
A Bay of Blood,1971,13,5486
A Bucket of Blood,1959,4,22642
A Nightmare on Elm Street,1984,4,377
A Nightmare on Elm Street 2: Freddy's Revenge,1985,10,10014
A Nightmare on Elm Street 3: Dream Warriors,1987,6,10072
A Nightmare on Elm Street 4: The Dream Master,1988,7,10131
A Nightmare on Elm Street 5: The Dream Child,1989,3,10160
A Quiet Place,2018,4,447332
A Quiet Place Part II,2020,34,520763
Abigail,2024,47,1111873
Abraham Lincoln Vs. Zombies,2012,277,98948
Akira,1988,119,149
Alien,1979,6,348
Alien 3,1992,29,8077
Alien Resurrection,1997,30,8078
Alien vs. Predator,2004,32,395
Alien: Covenant,2017,60,126889
Aliens,1986,15,679
Aliens vs. Predator: Requiem,2007,78,440
Alive,2020,57,710417
All Through the House,2015,14,373048
Alone in the Dark,1982,11,40952
Altered States,1980,5,11542
American Mary,2013,5,126277
American Psycho,2000,16,1359
American Psycho 2: All American Girl,2002,11,10726
Amsterdamned,1988,8,2093
Amusement,2008,7,13803
An American Werewolf in London,1981,16,814
Angel Heart,1987,12,635
AquaSlash,2019,11,607383
Army of Darkness,1992,38,766
"As Above, So Below",2014,3,256274
ATM,2015,5,431565
Attack of the Killer Tomatoes,1976,551,557659
Axe Giant: The Wrath of Paul Bunyan,2013,17,143142
Barbarian,2022,5,913290
Basket Case,1982,7,27813
Basket Case 2,1990,6,27815
Basket Case 3: The Progeny,1991,9,27816
Bastard,2011,9,235815
Bats,1999,74,10496
Beetlejuice,1988,2,4011
Behind the Mask,1946,11,162004
Behind the Mask: The Rise of Leslie Vernon,2006,10,10961
Benny Loves You,2019,18,647302
Berserker,1987,6,40463
Better Watch Out,2016,3,406994
Beyond Re-Animator,2003,23,11429
Billy Club,2013,9,139721
Bird Box,2018,27,405774
Black Christmas,1974,7,16938
Black Christmas,2006,18,9656
Black Christmas,2019,27,551808
Black Friday,2021,26,765869
Blacula,1972,25,30566
Blade,1998,111,36647
Blade II,2002,98,36586
Blade: Trinity,2004,140,36648
Blood and Black Lace,1964,6,28055
Blood and Chocolate,2007,256,10075
Blood Fest,2018,67,472226
Blood Harvest,2023,7,858747
Blood Hook,1987,6,99424
Blood Quantum,2019,73,592230
Blood Rage,1987,11,28264
BloodRayne,2006,102,168705
Bloody Birthday,1981,8,55538
Bloody Moon,1981,9,39918
Bloody New Year,1987,10,30478
Bodies Bodies Bodies,2022,5,520023
Body Count,1986,13,224073
Bone Breaker,2020,7,671474
Bones,2001,13,11380
Bones and All,2022,7,791177
Braindead,1992,72,763
Bride of Chucky,1998,14,11932
Bride of Re-Animator,1990,10,18111
Brightburn,2019,274,531309
Bruiser,2000,4,29512
Cabin Fever,2002,19,11547
Candyman,1992,6,9529
Candyman,2021,17,565028
Candyman 3: Day of the Dead,1999,16,12485
Candyman: Farewell to the Flesh,1995,9,10824
Cargo,2019,35,640421
Carrie,1976,73,7340
Carrie,2002,234,7342
Carrie,2013,22,133805
Chain Letter,2010,19,38033
Cheerleader Camp,1988,9,40087
Child's Play,1988,6,10585
Child's Play,2019,7,533642
Child's Play 2,1990,8,11186
Child's Play 3,1991,8,11187
Children of the Corn,1984,24,10823
Choose or Die,2022,6,838484
Chopping Mall,1986,9,28941
Christine,1983,7,8769
Christmas Evil,1980,4,27230
Circus Kane,2017,9,459667
"Clap, You're Dead",1974,4,105232
Class of 1999,1990,43,23535
Cloverfield,2008,1629115,7191
Clown,2014,13,112454
Clownhouse,1990,8,25756
Come to Daddy,2019,3,586592
Constantine,2005,7,561
Cooties,2014,26,241843
Copycat,1995,11,1710
Corona Zombies,2020,63,684420
Countdown,2019,5,599975
Creep,2014,1,250574
Creepshow,1982,15,16281
Critters,1986,12,3980
Critters 2,1988,830,10127
Critters 3,1991,8,12702
Critters 4,1992,15,12525
Critters Attack!,2019,862,597856
Cronos,1993,10,11655
Cube,1998,44,431
Cujo,1983,4,10489
Cult of Chucky,2017,9,393345
Curse of Chucky,2013,10,167032
Curtains,2020,8,693258
Cut and Run,1985,47,30877
Cutthroat Alley,2003,12,200782
Cutting Class,1989,8,21799
Dance of the Dead,2005,261,319324
Dark Night of the Scarecrow,1981,6,30931
Dawn of the Dead,1978,143,923
Dawn of the Dead,2004,131,924
Day of the Dead,1985,35,8408
Dead Above Ground,2002,7,43086
Dead Body,2017,6,375580
Deadly Friend,1986,8,33278
Death Proof,2007,6,1991
Death Steps in the Dark,1977,6,105398
Death Walks on High Heels,1971,4,77029
Deathgasm,2015,37,323373
Deep Red,1994,6,58815
Deep Rising,1998,460,9457
Def by Temptation,1990,17,71853
Demonic Toys,1992,5,40649
Doctor Sleep,2019,18,501170
Don't Blink,2014,50,294308
Don't Breathe,2016,3,300669
Don't Breathe 2,2021,11,482373
Don't Torture a Duckling,1972,6,49361
Donnie Darko,2001,14,141
Doom,2005,89,8814
Dracula,1931,15,138
Dracula,1992,94,6114
Dracula 2000,2000,18,10577
Drive Thru,2007,15,46302
